Date,GS
2013-02-05,119.10928344726562
2013-02-06,119.63964080810547
2013-02-07,118.95881652832031
2013-02-08,120.01968383789062
2013-02-11,120.52635192871094
2013-02-12,122.00682067871094
2013-02-13,122.33140563964844
2013-02-14,123.44766235351562
2013-02-15,122.70352935791016
2013-02-19,125.60108184814453
2013-02-20,122.85391235351562
2013-02-21,119.44970703125
2013-02-22,121.99095153808594
2013-02-25,116.89248657226562
2013-02-26,117.56776428222656
2013-02-27,120.4671859741211
2013-02-28,118.9657974243164
2013-03-01,119.57750701904297
2013-03-04,120.88822174072266
2013-03-05,121.50789642333984
2013-03-06,122.43733215332031
2013-03-07,124.41522979736328
2013-03-08,121.52374267578125
2013-03-11,121.77792358398438
2013-03-12,120.6260757446289
2013-03-13,120.67375183105469
2013-03-14,122.349853515625
2013-03-15,123.00122833251953
2013-03-18,120.70556640625
2013-03-19,118.23502349853516
2013-03-20,119.25975799560547
2013-03-21,115.4864501953125
2013-03-22,116.45561981201172
2013-03-25,116.06640625
2013-03-26,116.40796661376953
2013-03-27,117.44066619873047
2013-03-28,116.89250183105469
2013-04-01,116.01077270507812
2013-04-02,116.51914978027344
2013-04-03,113.92156982421875
2013-04-04,113.58797454833984
2013-04-05,114.14399719238281
2013-04-08,114.24726867675781
2013-04-09,116.39202880859375
2013-04-10,118.72753143310547
2013-04-11,118.41775512695312
2013-04-12,118.45747375488281
2013-04-15,116.34442138671875
2013-04-16,114.46967315673828
2013-04-17,111.68937683105469
2013-04-18,110.10059356689453
2013-04-19,110.19593811035156
2013-04-22,110.83142852783203
2013-04-23,113.54818725585938
2013-04-24,114.33464050292969
2013-04-25,114.99394226074219
2013-04-26,114.47762298583984
2013-04-29,115.27196502685547
2013-04-30,116.03460693359375
2013-05-01,113.2860336303711
2013-05-02,114.12805938720703
2013-05-03,115.478515625
2013-05-06,117.92521667480469
2013-05-07,118.61634063720703
2013-05-08,119.363037109375
2013-05-09,117.99671936035156
2013-05-10,118.44159698486328
2013-05-13,118.86256408691406
2013-05-14,122.74708557128906
2013-05-15,123.61294555664062
2013-05-16,122.70731353759766
2013-05-17,125.65446472167969
2013-05-20,126.22647094726562
2013-05-21,127.68021392822266
2013-05-22,126.57596588134766
2013-05-23,125.04280090332031
2013-05-24,126.08348083496094
2013-05-28,128.05970764160156
2013-05-29,129.7890167236328
2013-05-30,130.96836853027344
2013-05-31,129.159423828125
2013-06-03,130.3388214111328
2013-06-04,128.84068298339844
2013-06-05,126.147216796875
2013-06-06,127.2469253540039
2013-06-07,132.2911834716797
2013-06-10,133.47059631347656
2013-06-11,130.13961791992188
2013-06-12,128.98416137695312
2013-06-13,132.13983154296875
2013-06-14,129.8288116455078
2013-06-17,130.77713012695312
2013-06-18,130.8090057373047
2013-06-19,128.7450408935547
2013-06-20,123.84416198730469
2013-06-21,122.91981506347656
2013-06-24,120.15460205078125
2013-06-25,121.97151947021484
2013-06-26,120.85585021972656
2013-06-27,122.33011627197266
2013-06-28,120.52919006347656
2013-07-01,120.92760467529297
2013-07-02,120.26618194580078
2013-07-03,119.87568664550781
2013-07-05,122.11493682861328
2013-07-08,122.56918334960938
2013-07-09,125.06341552734375
2013-07-10,124.17893981933594
2013-07-11,125.67703247070312
2013-07-12,127.58958435058594
2013-07-15,129.892578125
2013-07-16,127.69324493408203
2013-07-17,128.69725036621094
2013-07-18,130.73728942871094
2013-07-19,130.9763641357422
2013-07-22,132.48248291015625
2013-07-23,132.49044799804688
2013-07-24,131.5182342529297
2013-07-25,132.2115478515625
2013-07-26,131.69354248046875
2013-07-29,130.0280303955078
2013-07-30,129.43833923339844
2013-07-31,130.71339416503906
2013-08-01,133.47059631347656
2013-08-02,133.57421875
2013-08-05,134.13206481933594
2013-08-06,131.31105041503906
2013-08-07,130.2511749267578
2013-08-08,129.76507568359375
2013-08-09,129.19931030273438
2013-08-12,128.84869384765625
2013-08-13,130.45835876464844
2013-08-14,130.16351318359375
2013-08-15,128.099609375
2013-08-16,128.02784729003906
2013-08-19,126.41023254394531
2013-08-20,127.15129852294922
2013-08-21,125.19890594482422
2013-08-22,127.03174591064453
2013-08-23,126.42613983154297
2013-08-26,125.82843017578125
2013-08-27,122.10700225830078
2013-08-28,122.29883575439453
2013-08-29,122.82655334472656
2013-08-30,121.62732696533203
2013-09-03,123.72994995117188
2013-09-04,124.51345825195312
2013-09-05,124.85724639892578
2013-09-06,125.24901580810547
2013-09-09,127.51158905029297
2013-09-10,132.02874755859375
2013-09-11,131.9647979736328
2013-09-12,130.59767150878906
2013-09-13,131.1173095703125
2013-09-16,133.539794921875
2013-09-17,133.85162353515625
2013-09-18,134.36329650878906
2013-09-19,134.13943481445312
2013-09-20,135.71434020996094
2013-09-23,132.1166534423828
2013-09-24,130.29383850097656
2013-09-25,129.76609802246094
2013-09-26,129.7501678466797
2013-09-27,127.79946899414062
2013-09-30,126.48821258544922
2013-10-01,127.11980438232422
2013-10-02,126.85598754882812
2013-10-03,125.40095520019531
2013-10-04,125.16104125976562
2013-10-07,123.32225036621094
2013-10-08,122.36286926269531
2013-10-09,123.47415161132812
2013-10-10,126.32832336425781
2013-10-11,127.9193344116211
2013-10-14,127.48759460449219
2013-10-15,126.02449798583984
2013-10-16,129.71823120117188
2013-10-17,126.576171875
2013-10-18,126.87199401855469
2013-10-21,127.73543548583984
2013-10-22,127.31969451904297
2013-10-23,126.11245727539062
2013-10-24,127.8873519897461
2013-10-25,129.5902862548828
2013-10-28,129.07858276367188
2013-10-29,129.60626220703125
2013-10-30,129.55831909179688
2013-10-31,128.60691833496094
2013-11-01,129.55831909179688
2013-11-04,130.4457550048828
2013-11-05,129.47828674316406
2013-11-06,130.73353576660156
2013-11-07,127.63148498535156
2013-11-08,130.4537353515625
2013-11-11,130.9893798828125
2013-11-12,130.22987365722656
2013-11-13,130.26991271972656
2013-11-14,130.4777069091797
2013-11-15,131.43714904785156
2013-11-18,132.46043395996094
2013-11-19,133.19602966308594
2013-11-20,131.91683959960938
2013-11-21,133.5717315673828
2013-11-22,134.39529418945312
2013-11-25,135.49853515625
2013-11-26,134.3472442626953
2013-11-27,134.93287658691406
2013-11-29,135.5103759765625
2013-12-02,136.13601684570312
2013-12-03,134.79649353027344
2013-12-04,135.31787109375
2013-12-05,132.79916381835938
2013-12-06,134.12269592285156
2013-12-09,134.49159240722656
2013-12-10,136.14401245117188
2013-12-11,134.43553161621094
2013-12-12,135.02105712890625
2013-12-13,135.06918334960938
2013-12-16,137.1226348876953
2013-12-17,136.75369262695312
2013-12-18,140.2428741455078
2013-12-19,140.1867218017578
2013-12-20,140.49954223632812
2013-12-23,141.55030822753906
2013-12-24,141.30169677734375
2013-12-26,141.5342559814453
2013-12-27,141.4540557861328
2013-12-30,140.95675659179688
2013-12-31,142.18399047851562
2014-01-02,141.88722229003906
2014-01-03,142.89788818359375
2014-01-06,143.87648010253906
2014-01-07,143.01016235351562
2014-01-08,143.13050842285156
2014-01-09,142.2963104248047
2014-01-10,143.0904541015625
2014-01-13,141.0770721435547
2014-01-14,141.65460205078125
2014-01-15,143.37918090820312
2014-01-16,140.50755310058594
2014-01-17,141.39791870117188
2014-01-21,138.92735290527344
2014-01-22,139.31240844726562
2014-01-23,136.96217346191406
2014-01-24,134.4675750732422
2014-01-27,132.10130310058594
2014-01-28,133.35263061523438
