Date,NDAQ
2011-03-16,6.597137928009033
2011-03-17,6.6213812828063965
2011-03-18,6.677953720092773
2011-03-21,6.8314995765686035
2011-03-22,6.774930953979492
2011-03-23,6.823418140411377
2011-03-24,6.89076566696167
2011-03-25,6.81533670425415
2011-03-28,6.809950351715088
2011-03-29,6.936557769775391
2011-03-30,6.947332382202148
2011-03-31,6.960803985595703
2011-04-01,7.6046271324157715
2011-04-04,7.3918137550354
2011-04-05,7.542666912078857
2011-04-06,7.766253471374512
2011-04-07,7.830903053283691
2011-04-08,7.663888454437256
2011-04-11,7.550747394561768
2011-04-12,7.486095428466797
2011-04-13,7.478014945983887
2011-04-14,7.491481781005859
2011-04-15,7.599234104156494
2011-04-18,7.4268341064453125
2011-04-19,7.381036758422852
2011-04-20,7.3594865798950195
2011-04-21,7.418749809265137
2011-04-25,7.335241317749023
2011-04-26,7.348710536956787
2011-04-27,7.402587890625
2011-04-28,7.33793830871582
2011-04-29,7.305610656738281
2011-05-02,7.310999870300293
2011-05-03,7.21132755279541
2011-05-04,7.16283655166626
2011-05-05,7.141287326812744
2011-05-06,7.16283655166626
2011-05-09,7.372957229614258
2011-05-10,7.397201061248779
2011-05-11,7.2786736488342285
2011-05-12,7.324468612670898
2011-05-13,7.249043941497803
2011-05-16,7.065863132476807
2011-05-17,6.990436553955078
2011-05-18,7.055087089538574
2011-05-19,7.038923740386963
2011-05-20,6.8692145347595215
2011-05-23,6.718360900878906
2011-05-24,6.721053123474121
2011-05-25,6.680649280548096
2011-05-26,6.567507266998291
2011-05-27,6.834193229675293
2011-05-31,6.874603271484375
2011-06-01,6.59444522857666
2011-06-02,6.615995407104492
2011-06-03,6.5001630783081055
2011-06-06,6.335839748382568
2011-06-07,6.408573627471924
2011-06-08,6.306206703186035
2011-06-09,6.505547523498535
2011-06-10,6.411266803741455
2011-06-13,6.411266803741455
2011-06-14,6.513629913330078
2011-06-15,6.333145618438721
2011-06-16,6.392409324645996
2011-06-17,6.403184413909912
2011-06-20,6.41934871673584
2011-06-21,6.540570259094238
2011-06-22,6.457062244415283
2011-06-23,6.290046215057373
2011-06-24,6.300821304321289
2011-06-27,6.376245975494385
2011-06-28,6.467834949493408
2011-06-29,6.772238731384277
2011-06-30,6.81533670425415
2011-07-01,7.036230087280273
2011-07-05,7.076636791229248
2011-07-06,6.896151542663574
2011-07-07,6.944642066955566
2011-07-08,6.834193229675293
2011-07-11,6.5001630783081055
2011-07-12,6.4408979415893555
2011-07-13,6.416653633117676
2011-07-14,6.341227054595947
2011-07-15,6.381635665893555
2011-07-18,6.133805274963379
2011-07-19,6.29273796081543
2011-07-20,6.300821304321289
2011-07-21,6.422043323516846
2011-07-22,6.519018650054932
2011-07-25,6.5028557777404785
2011-07-26,6.543263912200928
2011-07-27,6.3304524421691895
2011-07-28,6.465142726898193
2011-07-29,6.483999729156494
2011-08-01,6.516324043273926
2011-08-02,6.298126220703125
2011-08-03,6.327758312225342
2011-08-04,6.0368266105651855
2011-08-05,6.139191627502441
2011-08-08,5.495370388031006
2011-08-09,6.093397617340088
2011-08-10,5.783607482910156
2011-08-11,6.341227054595947
2011-08-12,6.187682151794434
2011-08-15,6.362776756286621
2011-08-16,6.187682151794434
2011-08-17,6.160742282867432
2011-08-18,5.821321487426758
2011-08-19,5.710875511169434
2011-08-22,5.651611804962158
2011-08-23,6.02335786819458
2011-08-24,6.209228992462158
2011-08-25,5.991030693054199
2011-08-26,6.12302827835083
2011-08-29,6.316984176635742
2011-08-30,6.311595439910889
2011-08-31,6.381635665893555
2011-09-01,6.236169338226318
2011-09-02,6.07723331451416
2011-09-06,5.84287166595459
2011-09-07,6.34661340713501
2011-09-08,6.233474254608154
2011-09-09,5.996419906616211
2011-09-12,6.14727258682251
2011-09-13,6.349308490753174
2011-09-14,6.405879020690918
2011-09-15,6.772238731384277
2011-09-16,6.807257175445557
2011-09-19,6.677953720092773
2011-09-20,6.65371036529541
2011-09-21,6.513629913330078
2011-09-22,6.465142726898193
2011-09-23,6.5701985359191895
2011-09-26,6.731829643249512
2011-09-27,6.7533793449401855
