Date,CPT
2015-07-10,52.58374786376953
2015-07-13,52.576961517333984
2015-07-14,52.787132263183594
2015-07-15,52.88882827758789
2015-07-16,53.12610626220703
2015-07-17,53.18037414550781
2015-07-20,53.48545455932617
2015-07-21,53.1871452331543
2015-07-22,53.505794525146484
2015-07-23,53.058349609375
2015-07-24,53.51935577392578
2015-07-27,53.505794525146484
2015-07-28,53.30241394042969
2015-07-29,53.30241394042969
2015-07-30,53.356624603271484
2015-07-31,53.98716354370117
2015-08-03,54.068511962890625
2015-08-04,53.67529296875
2015-08-05,53.458335876464844
2015-08-06,53.56003189086914
2015-08-07,53.98038101196289
2015-08-10,54.05495834350586
2015-08-11,54.143096923828125
2015-08-12,54.299034118652344
2015-08-13,54.23801040649414
2015-08-14,54.31937026977539
2015-08-17,54.746482849121094
2015-08-18,55.10581588745117
2015-08-19,54.380367279052734
2015-08-20,53.56003189086914
2015-08-21,52.51593017578125
2015-08-24,49.329471588134766
2015-08-25,48.45487594604492
2015-08-26,49.08540725708008
2015-08-27,50.00065612792969
2015-08-28,50.143035888671875
2015-08-31,48.834537506103516
2015-09-01,47.973514556884766
2015-09-02,48.2243766784668
2015-09-03,48.19724655151367
2015-09-04,47.10572052001953
2015-09-08,47.987083435058594
2015-09-09,47.08536911010742
2015-09-10,47.322662353515625
2015-09-11,47.95319366455078
2015-09-14,47.824371337890625
2015-09-15,48.51589584350586
2015-09-16,49.03794860839844
2015-09-17,49.288780212402344
2015-09-18,49.41080856323242
2015-09-21,49.63456726074219
2015-09-22,49.22776412963867
2015-09-23,49.55997848510742
2015-09-24,48.868446350097656
2015-09-25,49.098960876464844
2015-09-28,48.736122131347656
2015-09-29,50.16006851196289
2015-09-30,50.59138488769531
2015-10-01,50.74198913574219
2015-10-02,51.10480880737305
2015-10-05,51.58402633666992
2015-10-06,51.20751953125
2015-10-07,52.07693862915039
2015-10-08,52.672542572021484
2015-10-09,52.576683044433594
2015-10-12,52.953216552734375
2015-10-13,52.617759704589844
2015-10-14,52.24123001098633
2015-10-15,53.00113296508789
2015-10-16,53.1380615234375
2015-10-19,54.11016845703125
2015-10-20,53.911651611328125
2015-10-21,53.78155517578125
2015-10-22,54.048561096191406
2015-10-23,53.473506927490234
2015-10-26,53.09697341918945
2015-10-27,53.110660552978516
2015-10-28,52.51507568359375
2015-10-29,52.28915786743164
2015-10-30,50.516048431396484
2015-11-02,52.07008361816406
2015-11-03,51.94684600830078
2015-11-04,51.67304992675781
2015-11-05,52.26176452636719
2015-11-06,50.65297317504883
2015-11-09,50.35858154296875
2015-11-10,51.44710159301758
2015-11-11,51.73463821411133
2015-11-12,51.33073043823242
2015-11-13,50.892601013183594
2015-11-16,51.49504852294922
2015-11-17,51.75516891479492
2015-11-18,51.85100555419922
2015-11-19,52.05638885498047
2015-11-20,52.33707046508789
2015-11-23,52.3849983215332
2015-11-24,52.01532745361328
2015-11-25,52.597232818603516
2015-11-27,53.20652389526367
2015-11-30,52.28915786743164
2015-12-01,53.37766647338867
2015-12-02,52.50136947631836
2015-12-03,51.53609848022461
2015-12-04,52.98059844970703
2015-12-07,52.16592788696289
2015-12-08,52.31655502319336
2015-12-09,51.85100555419922
2015-12-10,51.07743835449219
2015-12-11,51.27594757080078
2015-12-14,51.16641616821289
2015-12-15,51.51887512207031
2015-12-16,52.26520919799805
2015-12-17,52.057884216308594
2015-12-18,51.608707427978516
2015-12-21,52.43108367919922
2015-12-22,52.209930419921875
2015-12-23,52.997737884521484
2015-12-24,52.76277542114258
2015-12-28,53.10832595825195
2015-12-29,53.522972106933594
2015-12-30,53.49530792236328
2015-12-31,53.04612350463867
2016-01-04,52.37577819824219
2016-01-05,53.35018539428711
2016-01-06,53.163612365722656
2016-01-07,52.451812744140625
2016-01-08,51.546504974365234
2016-01-11,51.822933197021484
2016-01-12,51.55343246459961
2016-01-13,51.007484436035156
2016-01-14,50.558311462402344
2016-01-15,49.92250442504883
2016-01-19,50.66194534301758
2016-01-20,48.7546272277832
2016-01-21,48.782249450683594
2016-01-22,49.86031723022461
